ID,Treatment,Weight,Weight_gain_percent,Food_Intake_weekly,Calories_weekly,Date,Week
32,HFD+LXN,31,23.02,20.4,104.49,2/26/19,3
33,HFD+LXN,36.8,26.9,22.9,117.29,2/26/19,3
34,HFD+LXN,30.2,13.96,20.8,106.54,2/26/19,3
35,HFD+LXN,30.1,18.5,20.6,105.51,2/26/19,3
36,HFD+LXN,25.5,8.05,14.4,73.76,2/26/19,3
37,HFD+HXN,28.8,3.6,18.7,95.78,2/26/19,3
38,HFD+HXN,27.2,14.29,20.5,105,2/26/19,3
39,HFD+HXN,31.8,28.23,20.4,104.49,2/26/19,3
40,HFD+HXN,28.3,12.75,22.8,116.78,2/26/19,3
41,HFD+HXN,29.4,17.13,19.9,101.93,2/26/19,3
42,HFD+HXN,33.5,25,19.7,100.9,2/26/19,3
43,HFD+HXN,28,11.55,15.7,80.42,2/26/19,3
44,HFD+HXN,28.2,14.17,19.8,101.42,2/26/19,3
45,HFD+HXN,28.8,13.39,17.5,89.63,2/26/19,3
46,HFD+HXN,27.3,15.19,16.9,86.56,2/26/19,3
47,HFD+HXN,34,24.54,21.1,108.07,2/26/19,3
48,HFD+HXN,28.5,20.25,20.7,106.03,2/26/19,3
49,HFD+TXN,27.6,6.15,19.8,101.42,2/26/19,3
51,HFD+TXN,28.3,13.2,19.2,98.34,2/26/19,3
52,HFD+TXN,26.3,7.35,15.8,80.93,2/26/19,3
53,HFD+TXN,30,13.21,18.3,93.73,2/26/19,3
54,HFD+TXN,22.5,2.74,19.3,98.85,2/26/19,3
55,HFD+TXN,26.4,10.46,16.2,82.98,2/26/19,3
56,HFD+TXN,28.7,4.36,22.6,115.76,2/26/19,3
57,HFD+TXN,31,15.67,27.1,138.81,2/26/19,3
58,HFD+TXN,26.8,6.77,21,107.56,2/26/19,3
59,HFD+TXN,26,-0.38,26.7,136.76,2/26/19,3
60,HFD+TXN,26.5,1.53,23.2,118.83,2/26/19,3
1,LFD,29.9,10.74,24.2,85.81,3/5/19,4
2,LFD,28.5,1.79,21.3,75.53,3/5/19,4
3,LFD,26.7,15.58,21.3,75.53,3/5/19,4
4,LFD,27.3,5.41,26.5,93.97,3/5/19,4
5,LFD,26.1,1.56,21.5,76.24,3/5/19,4
6,LFD,30.4,15.59,26.2,92.9,3/5/19,4
7,LFD,28.3,10.55,20.9,74.11,3/5/19,4
8,LFD,28.6,10,27,95.74,3/5/19,4
9,LFD,29.2,11.45,21.3,75.53,3/5/19,4
10,LFD,25.7,8.44,22.1,78.37,3/5/19,4
11,LFD,28.5,10.89,21.8,77.3,3/5/19,4
12,LFD,30.1,16.22,23,81.56,3/5/19,4
13,HFD,30.3,24.69,20.2,103.46,3/5/19,4
14,HFD,33.3,39.92,21.9,112.17,3/5/19,4
15,HFD,34.8,37.01,19.6,100.39,3/5/19,4
16,HFD,34.7,26.18,19.4,99.37,3/5/19,4
17,HFD,32.4,32.24,18.6,95.27,3/5/19,4
18,HFD,30.7,20.87,18.1,92.71,3/5/19,4
19,HFD,29.1,11.49,15.5,79.39,3/5/19,4
20,HFD,33.2,26.72,18.4,94.24,3/5/19,4
21,HFD,36.7,41.15,18.4,94.24,3/5/19,4
22,HFD,33.5,30.86,20.5,105,3/5/19,4
23,HFD,28,15.7,19.1,97.83,3/5/19,4
24,HFD,33.4,30.98,20.9,107.05,3/5/19,4
25,HFD+LXN,31.7,15.69,20.8,106.54,3/5/19,4
26,HFD+LXN,32.6,24.9,19.7,100.9,3/5/19,4
27,HFD+LXN,34.5,33.72,22.4,114.73,3/5/19,4
28,HFD+LXN,36.4,39.46,21.2,108.59,3/5/19,4
29,HFD+LXN,32.6,24.9,21.3,109.1,3/5/19,4
30,HFD+LXN,34.5,35.83,20.5,105,3/5/19,4
31,HFD+LXN,35.8,31.62,20.4,104.49,3/5/19,4
32,HFD+LXN,31.6,25.4,17.5,89.63,3/5/19,4
33,HFD+LXN,38.7,33.45,19.6,100.39,3/5/19,4
34,HFD+LXN,31.2,17.74,19.7,100.9,3/5/19,4
35,HFD+LXN,32.6,28.35,20,102.44,3/5/19,4
36,HFD+LXN,26,10.17,16.5,84.51,3/5/19,4
37,HFD+HXN,29.6,6.47,18.3,93.73,3/5/19,4
38,HFD+HXN,28.1,18.07,19.4,99.37,3/5/19,4
39,HFD+HXN,33,33.06,20.9,107.05,3/5/19,4
40,HFD+HXN,29.3,16.73,19.4,99.37,3/5/19,4
41,HFD+HXN,31.6,25.9,22.7,116.27,3/5/19,4
42,HFD+HXN,36,34.33,22,112.68,3/5/19,4
43,HFD+HXN,28.8,14.74,16.2,82.98,3/5/19,4
44,HFD+HXN,29.4,19.03,17,87.07,3/5/19,4
45,HFD+HXN,29.1,14.57,16.7,85.54,3/5/19,4
46,HFD+HXN,28.3,19.41,17,87.07,3/5/19,4
47,HFD+HXN,35.2,28.94,17.8,91.17,3/5/19,4
48,HFD+HXN,30.7,29.54,21.2,108.59,3/5/19,4
49,HFD+TXN,28.6,10,18.2,93.22,3/5/19,4
51,HFD+TXN,28.9,15.6,17.3,88.61,3/5/19,4
52,HFD+TXN,26.8,9.39,23.4,119.85,3/5/19,4
53,HFD+TXN,30.4,14.72,20,102.44,3/5/19,4
54,HFD+TXN,23.5,7.31,19.2,98.34,3/5/19,4
55,HFD+TXN,27.5,15.06,17.3,88.61,3/5/19,4
56,HFD+TXN,28.9,5.09,16.4,84,3/5/19,4
57,HFD+TXN,32.1,19.78,23,117.81,3/5/19,4
58,HFD+TXN,27.1,7.97,18.2,93.22,3/5/19,4
59,HFD+TXN,27,3.45,28.7,147,3/5/19,4
60,HFD+TXN,28,7.28,23.4,119.85,3/5/19,4
1,LFD,30.7,13.7,24,85.1,3/12/19,5
2,LFD,29.2,4.29,24.1,85.46,3/12/19,5
3,LFD,27.8,20.35,23.2,82.27,3/12/19,5
4,LFD,29,11.97,29.5,104.61,3/12/19,5
5,LFD,26.1,1.56,22.5,79.78,3/12/19,5
6,LFD,30.6,16.35,23.9,84.75,3/12/19,5
7,LFD,28.8,12.5,23.6,83.68,3/12/19,5
8,LFD,30.5,17.31,29.4,104.25,3/12/19,5
9,LFD,29.3,11.83,25.4,90.07,3/12/19,5
10,LFD,26.3,10.97,25,88.65,3/12/19,5
11,LFD,28.3,10.12,20.8,73.76,3/12/19,5
12,LFD,30.2,16.6,23.6,83.68,3/12/19,5
13,HFD,31.5,29.63,20.6,105.51,3/12/19,5
14,HFD,35.8,50.42,22.8,116.78,3/12/19,5
15,HFD,35.7,40.55,18.1,92.71,3/12/19,5
16,HFD,36,30.91,18.9,96.81,3/12/19,5
17,HFD,34.1,39.18,19.9,101.93,3/12/19,5
18,HFD,32.8,29.13,20.4,104.49,3/12/19,5
19,HFD,30.7,17.62,19.4,99.37,3/12/19,5
20,HFD,35.4,35.11,20.6,105.51,3/12/19,5
21,HFD,38.6,48.46,20.5,105,3/12/19,5
22,HFD,34.1,33.2,14.3,73.24,3/12/19,5
23,HFD,29.2,20.66,19.6,100.39,3/12/19,5
24,HFD,35.6,39.61,19.9,101.93,3/12/19,5
25,HFD+LXN,32.6,18.98,19.1,97.83,3/12/19,5
26,HFD+LXN,34.4,31.8,21.7,111.15,3/12/19,5
27,HFD+LXN,36,39.53,21.7,111.15,3/12/19,5
28,HFD+LXN,38,45.59,21.8,111.66,3/12/19,5
29,HFD+LXN,32.8,25.67,19.3,98.85,3/12/19,5
30,HFD+LXN,36.1,42.13,19.6,100.39,3/12/19,5
31,HFD+LXN,36.4,33.82,23.4,119.85,3/12/19,5
32,HFD+LXN,32.2,27.78,18.2,93.22,3/12/19,5
33,HFD+LXN,39.3,35.52,19.5,99.88,3/12/19,5
34,HFD+LXN,30.9,16.6,16.4,84,3/12/19,5
35,HFD+LXN,33.1,30.31,22.6,115.76,3/12/19,5
36,HFD+LXN,26.3,11.44,17.2,88.1,3/12/19,5
37,HFD+HXN,31,11.51,17.8,91.17,3/12/19,5
38,HFD+HXN,30,26.05,19.96,102.24,3/12/19,5
39,HFD+HXN,34.7,39.92,19.2,98.34,3/12/19,5
40,HFD+HXN,29.5,17.53,16.4,84,3/12/19,5
41,HFD+HXN,33,31.47,18.6,95.27,3/12/19,5
42,HFD+HXN,36.4,35.82,20.4,104.49,3/12/19,5
43,HFD+HXN,30,19.52,15.6,79.9,3/12/19,5
44,HFD+HXN,30.7,24.29,20.1,102.95,3/12/19,5
45,HFD+HXN,30.5,20.08,17.3,88.61,3/12/19,5
46,HFD+HXN,29.5,24.47,18,92.2,3/12/19,5
47,HFD+HXN,36.7,34.43,19.1,97.83,3/12/19,5
48,HFD+HXN,32.1,35.44,21.4,109.61,3/12/19,5
49,HFD+TXN,29,11.54,22.3,114.22,3/12/19,5
51,HFD+TXN,30.4,21.6,17.7,90.66,3/12/19,5
52,HFD+TXN,27.4,11.84,15.9,81.44,3/12/19,5
53,HFD+TXN,32,20.75,19.4,99.37,3/12/19,5
54,HFD+TXN,24.1,10.05,17.7,90.66,3/12/19,5
55,HFD+TXN,29.5,23.43,18.6,95.27,3/12/19,5
56,HFD+TXN,29.4,6.91,17.6,90.15,3/12/19,5
57,HFD+TXN,32.7,22.01,24.6,126,3/12/19,5
58,HFD+TXN,28.8,14.74,19.5,99.88,3/12/19,5
59,HFD+TXN,28,7.28,30.6,156.73,3/12/19,5
60,HFD+TXN,28.6,9.58,24.7,126.51,3/12/19,5
1,LFD,31.6,17,23.4,82.98,3/19/19,6
2,LFD,27.9,-0.4,21.3,75.53,3/19/19,6
