ID,Treatment,food_cum,Cal_cum,BMD,BMC,Bone_Area,Fat_percent   ,TTM,TAM,Fat_mass,Lean_mass,wt,wt_gained,liver_wt,lv_pct,bat_wt,subq_wt,epi_wat,mesenteric_wt,epiWatpct,epi2wt,fecal_fat,fecal_tot_output,CHL_plasma_baseline,CHL_plasma_mid,CHL_plasma_end,glucose_plasma,insulin_plasma,wt_gain_pct,TG_feces2,total_CHL,LDL,HDL,total_TAG,CHL_feces2,HOMA,leptin,leptin_new,LV_TC,LV_TAG,TG_feces,CHL_feces,ketone,lipidosis_area_pct
40,HFD+HXN,309.1,1583.209,0.056,0.518,9.32,46.76,38.94,39.458,18.208,20.732,47.3,88.45,1.71,3.615221987,0.22,1.89,3.51,1.21,19.28,7.42,28.86,0.81,137.51,161.42,195.083,134.09,0.581,88.45,147.333,195.08,135.695,135.027,60.672,422.4,0.433,40.772,7.952,19.5,572.13,28.86,82.368,0.913,15.636
41,HFD+HXN,333.62,1708.8,0.056,0.592,10.55,49.41,41.68,42.272,20.594,21.086,50.4,100.8,2.66,5.277777778,0.33,2.14,2.53,1.81,12.29,5.02,35.1,0.83,130.38,178.21,205.267,143.81,3.098,100.8,180,205.27,148.958,116.541,39.964,438,2.475,41.611,9.064,19.988,687.57,35.1,85.41,0.55,2.021
42,HFD+HXN,325.02,1664.751,0.055,0.496,9.05,43.79,45.01,45.506,19.71,25.3,53.4,99.25,2.91,5.449438202,0.31,1.56,2.06,1.69,10.45,3.86,16.185,0.84,134.23,172.42,210.294,186.37,2.505,99.25,83,210.29,145.381,129.705,50.363,360.8,2.594,38.506,7.894,19.549,780,16.185,70.356,0.638,19.615
43,HFD+HXN,308,1577.574,0.053,0.463,8.67,44.36,33.87,34.333,15.025,18.845,41.8,66.53,1.38,3.301435407,0.2,1.26,3,0.6,19.97,7.18,18.525,0.83,143.39,154.87,143.862,155.72,0.81,66.53,95,143.86,93.65,118.068,48.917,442.4,0.701,33.459,6.897,23.839,515.97,18.525,86.268,0.558,5.154
44,HFD+HXN,321.8,1648.258,0.051,0.393,7.74,45.16,35.88,36.273,16.203,19.677,44,78.14,1.36,3.090909091,0.27,1.9,3.31,0.55,20.43,7.52,19.11,0.79,113.01,163.79,168.21,159.88,0.606,78.14,98.333,168.21,120.891,101.643,43.521,479.6,0.538,36.182,7.028,20.28,484.38,19.11,93.522,0.699,4.116
45,HFD+HXN,290.8,1489.476,0.054,0.492,9.13,46.98,38.99,39.482,18.318,20.672,46.7,83.86,1.81,3.875802998,0.3,1.73,3.04,0.76,16.6,6.51,25.155,0.94,135.03,171.67,169.379,130.05,1.15,83.86,129.333,169.38,104.106,125.34,49.218,425.2,0.831,37.699,6.999,21.548,521.82,25.155,82.914,0.647,12.494
46,HFD+HXN,326.8,1673.868,0.054,0.428,7.99,41.78,33.37,33.798,13.942,19.428,40.8,72.15,1.28,3.137254902,0.2,1.26,2.98,0.52,21.37,7.3,15.015,0.88,128.93,138.37,155.609,172.22,0.502,72.15,77.333,155.61,84.79,128.766,75.653,427.2,0.48,29.544,5.648,22.474,790.92,15.015,83.304,0.59,5.366
47,HFD+HXN,334.8,1714.844,0.054,0.481,8.96,45.76,42.98,43.461,19.668,23.312,51.7,89.38,2.64,5.106382979,0.32,2.04,1.88,1.33,9.56,3.64,35.295,0.93,159.02,196.65,232.137,153.58,2.654,89.38,181.333,232.14,175.043,154.008,34.96,460.4,2.264,38.666,7.37,22.766,664.56,35.295,89.778,0.497,22.111
48,HFD+HXN,288.7,1478.72,0.054,0.449,8.29,46.86,39.75,40.199,18.627,21.123,48.8,105.91,1.77,3.62704918,0.26,1.72,3.14,1.17,16.86,6.43,70.59,0.8,137.14,135.99,164.19,152.66,1.097,105.91,361.667,164.19,60.245,125.301,53.498,390.4,0.93,44.428,8.883,20.865,589.68,70.59,76.128,0.655,5.238
49,HFD+TXN,317.66,1627.053,0.055,0.406,7.39,34.99,33.64,34.046,11.771,21.869,40.8,56.92,1.27,3.112745098,0.17,0.69,2.7,0.36,22.94,6.62,22.425,0.84,115.48,115.92,157.153,139.11,0.198,56.92,115,157.15,87.982,92.766,54.101,427.2,0.153,20.559,3.42,18.086,362.31,22.425,83.304,0.897,2.72
51,HFD+TXN,302.34,1548.584,0.054,0.493,9.12,48.36,37.96,38.453,18.357,19.603,45.9,83.6,1.57,3.420479303,0.28,1.72,2.93,1.28,15.96,6.38,18.915,0.67,128.64,166.99,171.531,132.47,1.812,83.6,97.333,171.53,88.752,131.982,49.188,569.2,1.334,51.526,9.511,18.866,430.95,18.915,110.994,0.444,9.694
52,HFD+TXN,299.63,1534.703,0.055,0.461,8.33,46.58,34.34,34.801,15.996,18.344,42.1,71.84,1.33,3.159144893,0.19,1.18,3,0.67,18.75,7.13,29.445,0.68,109.74,146.55,142.688,155.68,0.261,71.84,151,142.69,63.382,96.408,66.279,561.6,0.226,39.156,8.001,18.135,332.28,29.445,109.512,0.578,8.05
53,HFD+TXN,320.71,1642.675,0.055,0.461,8.34,47.01,41.07,41.531,19.307,21.763,50.4,90.19,2,3.968253968,0.33,2.54,3.2,1.57,16.57,6.35,22.815,0.79,125.44,166.99,187.949,150.08,2.451,90.19,117,187.95,108.234,140.313,56.874,511.2,2.044,59.895,11.147,17.843,525.72,22.815,99.684,0.477,17.234
54,HFD+TXN,290.08,1485.788,0.051,0.409,8.04,42.56,30.29,30.699,12.891,17.399,36.6,67.12,1.06,2.896174863,0.21,1.08,2.47,0.42,19.16,6.75,22.62,0.77,116.28,137.48,153.861,168.95,0.285,67.12,115.667,153.86,77.525,119.13,76.075,501.2,0.268,31.709,6.318,19.695,335.01,22.62,97.734,0.606,3.943
55,HFD+TXN,295.8,1515.086,0.044,0.301,6.92,40.98,32.49,32.791,13.314,19.176,39.6,65.69,1.25,3.156565657,0.23,0.84,2.83,0.56,21.26,7.15,26.13,0.83,129.87,130.2,155.77,168.53,0.366,65.69,133.667,155.77,100.584,57.648,72.91,484.4,0.343,28.951,5.207,19.451,412.62,26.13,94.458,1.023,7.777
56,HFD+TXN,319.8,1638.014,0.056,0.413,7.36,34.24,32.59,33.003,11.159,21.431,39.6,44,1.19,3.005050505,0.16,0.95,2.69,0.47,24.11,6.79,20.28,0.75,140.41,169.52,148.354,156.39,0.293,44,104,148.35,68.83,126.243,57.477,598.4,0.255,22.446,4.219,20.036,457.08,20.28,116.688,0.695,0.983
57,HFD+TXN,414.4,2122.555,0.053,0.529,9.93,43.38,42.54,43.069,18.454,24.086,51.9,93.66,1.88,3.622350674,0.32,0.86,2.12,1.14,11.49,4.08,26.715,1.09,57.03,93.48,136,134.08,1.879,93.66,136.667,136,70.536,103.638,45.721,548.4,1.4,38.199,6.755,19.89,618.54,26.715,106.938,0.57,18.583
58,HFD+TXN,335.2,1716.893,0.053,0.453,8.56,44.05,35.58,36.033,15.673,19.907,43.3,72.51,1.39,3.210161663,0.31,1.23,2.84,0.68,18.12,6.56,19.305,0.51,118.31,138.6,146.108,141.68,0.789,72.51,99,146.11,72.517,117.768,45.119,574,0.621,34.597,6.346,18.428,440.7,19.305,111.93,0.699,7.057
59,HFD+TXN,397.1,2033.944,0.054,0.438,8.15,30.91,28.7,29.138,8.871,19.829,34.7,32.95,1.07,3.083573487,0.17,0.52,1.56,0.24,17.59,4.5,60.645,0.76,136.2,122.69,123.961,156.7,0.388,32.95,311,123.96,53.751,75.987,59.045,440,0.338,11.253,2.092,20.524,420.42,60.645,85.8,0.489,1.079
60,HFD+TXN,390.2,1998.602,0.053,0.474,8.86,37.28,32.53,33.004,12.127,20.403,39.2,50.19,1.19,3.035714286,0.15,0.67,2.35,0.47,19.38,5.99,23.205,0.87,144.48,128.26,141.526,166.78,0.231,50.19,118.667,141.53,59.915,113.133,53.317,487.6,0.214,20.449,3.479,18.33,546.78,23.205,95.082,0.618,0.766
