Time,Diet,Cycle,MouseID,EE,EE_30,VO2,VCO2,RQ,VH2O,updateN,uptakeSum,AllMeters,PedMeters,PedSpeed,Walk_pct,Still_pct,Sleep_pct,Sleep_hrs
Cycle1:13:00-14:00,HFD,light,17,0.3956275,0.2136089,0.7421095,0.6136313,0.8288609,0.002156293,0,0,0,0,.,0,100,100,0.9997222
Cycle1:14:00-15:00,HFD,light,17,0.4599298,0.2504334,0.8400235,0.7046163,0.8370654,0.004435102,0,0,1.022415,0.8057404,0.01042517,3.470294,96.5297,95.61355,0.9563889
Cycle1:15:00-16:00,HFD,light,17,0.4391141,0.2229816,0.852859,0.7266002,0.8478016,0.000180385,0,0,2.302017,1.906036,0.009663134,7.777778,92.22222,89.11111,0.8908333
Cycle1:16:00-17:00,HFD,light,17,0.5176035,0.2625718,1.007522,0.8067571,0.8012845,0.06322404,2,0.03769112,7.110092,5.393661,0.01171276,22.79922,73.8406,68.11997,0.68125
Cycle1:17:00-18:00,HFD,light,17,0.5409613,0.2534568,0.8811882,0.6760253,0.7666494,0.04602782,0,0,2.516129,2.01358,0.01427609,6.331575,93.66843,91.33574,0.9134722
Cycle1:18:00-19:00,HFD,dark,17,0.5090116,0.3099492,1.071151,0.8604221,0.8036947,0.04028232,3,0.131743,8.683731,7.143692,0.0140733,22.57079,71.54359,69.29483,0.6931944
Cycle1:19:00-20:00,HFD,dark,17,0.6028469,0.2952604,1.073788,0.8477882,0.7904768,0.05491681,5,0.1997161,28.99326,24.44504,0.01639572,65.69445,27.63889,14.30556,0.1430556
Cycle1:20:00-21:00,HFD,dark,17,0.5649349,0.3041274,1.083487,0.8413792,0.7778816,0.06923395,2,0.1446521,23.97003,18.56804,0.01071964,70.59967,21.57135,11.71571,0.1172222
Cycle1:21:00-22:00,HFD,dark,17,0.5362647,0.254496,0.9070492,0.7021088,0.7723352,0.06402197,1,0.1581445,2.225037,1.814514,0.01014735,6.25,90.77778,89.91666,0.8991666
Cycle1:22:00-23:00,HFD,dark,17,0.5089844,0.2742301,0.9197431,0.7252666,0.7878227,0.05965612,1,0.02851367,0.5714417,0.3867493,0.009047488,1.666204,97.33407,97.33407,0.9734722
Cycle1:23:00-00:00,HFD,dark,17,0.512998,0.2789153,1.032902,0.8002229,0.7742857,0.05527036,3,0.1292102,15.19263,12.16281,0.01310271,37.40627,48.48653,46.95918,0.4695833
Cycle1:00:00-01:00,HFD,dark,17,0.5125752,0.2470888,0.9610658,0.7339789,0.76025,0.05853226,3,0.09918284,18.22205,14.04547,0.01037291,59.63354,36.86841,23.3759,0.2338889
Cycle1:01:00-02:00,HFD,dark,17,0.5213013,0.2462926,0.8951303,0.6894183,0.7681218,0.06184709,2,0.1810288,5.478088,3.830994,0.007787081,26.25,67.52779,59,0.59
Cycle1:02:00-03:00,HFD,dark,17,0.5029469,0.2810644,0.9379334,0.7322937,0.7784758,0.05645544,1,0.08087254,4.569366,2.523743,0.006425789,23.65353,73.12605,66.2965,0.6633334
