Time,Diet,Cycle,MouseID,EE,VO2,VCO2,VH2O,RER
Cycle1:14:00-15:00,LFD,light,4,0.5946449,2.059231,1.623254,0.1145787,0.7855242
Cycle1:15:00-16:00,LFD,light,4,0.5275187,1.839036,1.396326,0.04331527,0.7603255
Cycle1:16:00-17:00,LFD,light,4,0.6746135,2.292436,1.99735,0.1497613,0.8746715
Cycle1:17:00-18:00,LFD,light,4,0.603226,2.042619,1.811761,0.1047291,0.8870605
Cycle1:18:00-19:00,LFD,dark,4,0.6813114,2.316526,2.012441,0.1227393,0.8657171
Cycle1:19:00-20:00,LFD,dark,4,0.885766,2.973083,2.753928,0.1594543,0.9253732
Cycle1:20:00-21:00,LFD,dark,4,0.8289657,2.744937,2.710937,0.193125,0.9864827
Cycle1:21:00-22:00,LFD,dark,4,0.6014206,2.001504,1.931057,0.1855281,0.9641739
Cycle1:22:00-23:00,LFD,dark,4,0.6923765,2.28691,2.284716,0.184132,0.9962186
Cycle1:23:00-00:00,LFD,dark,4,0.5773315,1.910349,1.892863,0.150933,0.9900207
Cycle1:00:00-01:00,LFD,dark,4,0.8433874,2.792136,2.760079,0.1785996,0.9886799
Cycle1:01:00-02:00,LFD,dark,4,0.7637534,2.545591,2.438563,0.1647828,0.9576612
Cycle1:02:00-03:00,LFD,dark,4,0.5730674,1.977837,1.588128,0.1587305,0.8013352
Cycle1:03:00-04:00,LFD,dark,4,0.539353,1.875858,1.443453,0.1341208,0.768909
Cycle1:04:00-05:00,LFD,dark,4,0.6750862,2.321923,1.899401,0.1594044,0.8125207
Cycle1:05:00-06:00,LFD,dark,4,0.786419,2.685213,2.282602,0.1832614,0.8491344
Cycle2:06:00-07:00,LFD,light,4,0.8261429,2.852644,2.28461,0.204683,0.8022008
Cycle2:07:00-08:00,LFD,light,4,0.7433484,2.508693,2.26255,0.2073083,0.901141
Cycle2:08:00-09:00,LFD,light,4,0.6761926,2.325457,1.903482,0.2080386,0.8122644
Cycle2:09:00-10:00,LFD,light,4,0.7336419,2.520818,2.073076,0.2003692,0.8171731
Cycle2:10:00-11:00,LFD,light,4,0.6012365,2.067619,1.692698,0.2145167,0.8062274
Cycle2:11:00-12:00,LFD,light,4,0.5894492,2.064735,1.525345,0.1518411,0.7334055
Cycle2:12:00-13:00,LFD,light,4,0.491072,1.74006,1.19978,0.1897935,0.6876081
Cycle2:13:00-14:00,LFD,light,4,0.5862072,2.042553,1.555532,0.1463975,0.7536423
