Time,Diet,Cycle,MouseID,EE,VO2,VCO2,VH2O,RER,PedMeters,AllMeters
Cycle1:17:00-18:00,LFD,light,2,0.4114759,1.382796,1.273358,0.04029862,0.920857451,277.9882,323.569
Cycle1:18:00-19:00,LFD,dark,2,0.4935499,1.6671,1.497099,0.08408663,0.898025913,286.2321,333.3917
Cycle1:19:00-20:00,LFD,dark,2,0.533064,1.795991,1.633272,0.1080648,0.909398766,318.9923,370.8214
Cycle1:20:00-21:00,LFD,dark,2,0.5421909,1.83132,1.64492,0.1698348,0.898215495,352.6553,409.1722
Cycle1:21:00-22:00,LFD,dark,2,0.4768354,1.611283,1.444115,0.1449292,0.896251621,362.4719,421.1084
Cycle1:22:00-23:00,LFD,dark,2,0.5068833,1.713912,1.531219,0.1513019,0.893405846,372.4947,433.1996
Cycle1:23:00-00:00,LFD,dark,2,0.5262147,1.799155,1.518783,0.1883659,0.844164622,393.2936,457.7758
Cycle1:00:00-01:00,LFD,dark,2,0.4066004,1.408242,1.109216,0.1229065,0.787660075,398.7765,464.1615
Cycle1:01:00-02:00,LFD,dark,2,0.4421706,1.50534,1.299246,0.1193854,0.863091395,406.2558,473.2752
Cycle1:02:00-03:00,LFD,dark,2,0.4397755,1.513504,1.234063,0.09903239,0.815368179,407.64,474.9673
Cycle1:03:00-04:00,LFD,dark,2,0.5525102,1.873611,1.649729,0.1536493,0.880507747,427.7383,498.4264
Cycle1:04:00-05:00,LFD,dark,2,0.4896087,1.667938,1.43472,0.1117496,0.860175858,438.1355,510.6316
Cycle1:05:00-06:00,LFD,dark,2,0.5424553,1.835233,1.634964,0.1515691,0.890875437,464.739,541.0848
Cycle2:06:00-07:00,LFD,light,2,0.408338,1.374006,1.257393,0.1365717,0.915129192,479.3251,557.8913
Cycle2:07:00-08:00,LFD,light,2,0.3817982,1.303479,1.108765,0.09389933,0.850619764,479.7151,558.3565
Cycle2:08:00-09:00,LFD,light,2,0.3677694,1.253377,1.075886,0.09795023,0.858389774,484.1852,563.9251
Cycle2:09:00-10:00,LFD,light,2,0.3571931,1.224253,1.020287,0.07932196,0.833395548,484.3755,564.1868
Cycle2:10:00-11:00,LFD,light,2,0.4102196,1.398705,1.197735,0.09219247,0.856317093,486.4704,567.1514
Cycle2:11:00-12:00,LFD,light,2,0.335143,1.1548,0.935488,0.0540986,0.810086595,487.7802,568.6996
Cycle2:12:00-13:00,LFD,light,2,0.4140197,1.414739,1.197869,0.07337524,0.846706707,489.2571,570.6
Cycle2:13:00-14:00,LFD,light,2,0.330682,1.139412,0.9230949,0.04774365,0.810150235,491.6016,573.7436
Cycle2:14:00-15:00,LFD,light,2,0.3841588,1.319662,1.086671,0.0523862,0.823446458,492.4235,574.767
Cycle2:15:00-16:00,LFD,light,2,0.3348047,1.164994,0.8940653,0.0704079,0.767441978,493.1087,575.6167
Cycle2:16:00-17:00,LFD,light,2,0.4273243,1.447474,1.281716,0.09896977,0.885484644,497.4622,581.3525
Cycle2:17:00-18:00,LFD,light,2,0.395434,1.340301,1.183039,0.07127069,0.882666655,500.5651,585.3136
Cycle2:18:00-19:00,LFD,dark,2,0.4642372,1.544422,1.492513,0.07039373,0.966389368,506.5773,592.5673
Cycle2:19:00-20:00,LFD,dark,2,0.5994739,1.996629,1.919091,0.1384761,0.961165545,535.6576,625.3608
Cycle2:20:00-21:00,LFD,dark,2,0.4834372,1.614809,1.531036,0.152146,0.948122038,561.978,655.6786
Cycle2:21:00-22:00,LFD,dark,2,0.5480227,1.835571,1.717654,0.1846152,0.935760044,574.7344,670.7171
Cycle2:22:00-23:00,LFD,dark,2,0.4616828,1.571141,1.358814,0.1531235,0.864858087,587.7938,685.6993
Cycle2:23:00-00:00,LFD,dark,2,0.5836798,1.965526,1.791915,0.1845903,0.91167199,608.2665,709.4337
Cycle2:00:00-01:00,LFD,dark,2,0.5166316,1.737725,1.593267,0.1974354,0.91686947,637.9494,742.9572
Cycle2:01:00-02:00,LFD,dark,2,0.4731386,1.601809,1.422166,0.1695821,0.887849925,642.6964,748.6028
Cycle2:02:00-03:00,LFD,dark,2,0.4791498,1.628086,1.419118,0.1791535,0.871648058,654.5676,762.3907
Cycle2:03:00-04:00,LFD,dark,2,0.4575368,1.541357,1.402462,0.1527036,0.909887846,661.8506,771.6515
Cycle2:04:00-05:00,LFD,dark,2,0.4847412,1.630657,1.494214,0.1616775,0.916326364,671.6595,783.5856
Cycle2:05:00-06:00,LFD,dark,2,0.5160585,1.733787,1.598663,0.1514625,0.922064244,686.0743,800.751
Cycle1:06:00-07:00,LFD,light,3,0.5541348,1.906263,1.557864,0.1601422,0.817234558,261.7818,307.9876
Cycle1:07:00-08:00,LFD,light,3,0.4696676,1.638268,1.239946,0.1048124,0.756863956,263.9397,310.5865
Cycle1:08:00-09:00,LFD,light,3,0.4245684,1.487504,1.097547,0.1041309,0.737844739,264.3506,311.0933
Cycle1:09:00-10:00,LFD,light,3,0.5094866,1.774328,1.355169,0.09699934,0.763764648,264.8365,311.9406
Cycle1:10:00-11:00,LFD,light,3,0.4334089,1.514863,1.133279,0.0885554,0.748106594,264.9131,312.1163
Cycle1:11:00-12:00,LFD,light,3,0.4951507,1.723062,1.321813,0.08514132,0.76713026,265.327,312.6697
Cycle1:12:00-13:00,LFD,light,3,0.4202379,1.466833,1.105947,0.07292686,0.753969266,265.5636,313.0003
Cycle1:13:00-14:00,LFD,light,3,0.5662937,1.950396,1.583833,0.06371381,0.812057141,267.945,315.9528
Cycle1:14:00-15:00,LFD,light,3,0.4564891,1.586765,1.224875,0.08759769,0.771932202,276.2676,326.0249
Cycle1:15:00-16:00,LFD,light,3,0.5006615,1.720272,1.414796,0.02851467,0.822425756,276.9564,326.8662
Cycle1:16:00-17:00,LFD,light,3,0.4500937,1.578877,1.156607,0.110465,0.732550414,277.6921,327.7515
Cycle1:17:00-18:00,LFD,light,3,0.5262403,1.816397,1.457732,0.08841103,0.802540414,280.2992,330.9959
Cycle1:18:00-19:00,LFD,dark,3,0.6376126,2.170006,1.876024,0.09846457,0.864524799,285.4663,337.5568
Cycle1:19:00-20:00,LFD,dark,3,0.7069516,2.355145,2.261211,0.1221055,0.960115407,308.2748,364.1473
Cycle1:20:00-21:00,LFD,dark,3,0.614995,2.056739,1.938795,0.1461972,0.942654853,330.0486,390.8756
Cycle1:21:00-22:00,LFD,dark,3,0.6282733,2.11162,1.943334,0.1452282,0.92030479,339.0837,403.1056
Cycle1:22:00-23:00,LFD,dark,3,0.5955211,2.002698,1.837902,0.1714454,0.917713005,360.6848,428.5155
Cycle1:23:00-00:00,LFD,dark,3,0.5210666,1.783864,1.495693,0.139844,0.838456855,369.3191,439.3393
Cycle1:00:00-01:00,LFD,dark,3,0.6483014,2.191761,1.959577,0.1672944,0.894065092,378.4848,450.6266
Cycle1:01:00-02:00,LFD,dark,3,0.5156827,1.741642,1.565008,0.1340524,0.898581913,392.7425,467.8004
Cycle1:02:00-03:00,LFD,dark,3,0.5173562,1.757752,1.532823,0.1346647,0.872035987,393.2165,469.0692
Cycle1:03:00-04:00,LFD,dark,3,0.5584605,1.889792,1.68174,0.1304977,0.889907461,394.1784,471.2123
Cycle1:04:00-05:00,LFD,dark,3,0.7874516,2.661017,2.384382,0.1528787,0.896041626,411.5663,491.457
Cycle1:05:00-06:00,LFD,dark,3,0.7062481,2.388773,2.130785,0.1655274,0.891999784,453.417,536.7797
Cycle2:06:00-07:00,LFD,light,3,0.5643142,1.911799,1.691535,0.1509679,0.884787051,477.2039,563.5559
Cycle2:07:00-08:00,LFD,light,3,0.4468359,1.542051,1.238735,0.1051084,0.803303522,479.5616,566.1895
Cycle2:08:00-09:00,LFD,light,3,0.5408177,1.858113,1.528756,0.1021689,0.822746518,480.6331,567.481
Cycle2:09:00-10:00,LFD,light,3,0.453132,1.558149,1.276253,0.106594,0.819082771,485.0524,572.7833
Cycle2:10:00-11:00,LFD,light,3,0.4969632,1.727112,1.334694,0.1004789,0.772789489,485.4552,573.2474
Cycle2:11:00-12:00,LFD,light,3,0.5112011,1.753517,1.455162,0.0672498,0.829853375,486.4291,574.3797
Cycle2:12:00-13:00,LFD,light,3,0.4813677,1.665318,1.319872,0.1059952,0.792564543,487.4089,575.5244
Cycle2:13:00-14:00,LFD,light,3,0.5041142,1.697066,1.549518,0.09850448,0.913057005,490.278,579.9531
Cycle2:14:00-15:00,LFD,light,3,0.4216365,1.432333,1.249956,0.09694333,0.872671369,490.9073,581.2751
Cycle2:15:00-16:00,LFD,light,3,0.4973845,1.699496,1.439448,0.07762038,0.846985224,492.0925,583.6699
Cycle2:16:00-17:00,LFD,light,3,0.4846483,1.623467,1.518434,0.07605746,0.935303274,496.2397,589.8975
Cycle2:17:00-18:00,LFD,light,3,0.4580952,1.565619,1.324426,0.07646691,0.845944,496.6346,591.2202
Cycle2:18:00-19:00,LFD,dark,3,0.652258,2.182235,2.053144,0.1143967,0.940844593,499.1834,595.6337
Cycle2:19:00-20:00,LFD,dark,3,0.718072,2.404344,2.253478,0.148784,0.937252739,525.3381,625.6155
Cycle2:20:00-21:00,LFD,dark,3,0.6967439,2.32441,2.216905,0.1789725,0.953749554,546.0289,649.186
Cycle2:21:00-22:00,LFD,dark,3,0.6402898,2.134429,2.04314,0.1728552,0.957230248,581.311,688.8967
Cycle2:22:00-23:00,LFD,dark,3,0.4985283,1.669599,1.563215,0.1529454,0.936281706,589.2979,698.5082
Cycle2:23:00-00:00,LFD,dark,3,0.5587576,1.857403,1.80163,0.1615418,0.969972591,592.5587,702.8682
